data,precision,recall,f1-score,support,specificity
LLE,0.6161490683229813,0.8943741765480896,0.692701451780592,31.0,0.137028971028971
TD,0.5657142857142856,0.337028971028971,0.16867724867724865,19.2,0.137028971028971
accuracy,0.5924168847943803,0.5924168847943803,0.5924168847943803,0.5924168847943803,0.137028971028971
macro avg,0.5909316770186336,0.6157015737885303,0.4306893502289203,50.2,0.137028971028971
weighted avg,0.7368602227631266,0.5924168847943803,0.5350103785444779,50.2,0.137028971028971
