data,precision,recall,f1-score,support,specificity
LLE,0.7219208211143695,0.47841980736717576,0.5480956526373764,22.8,0.6694638694638695
TD,0.3954545454545454,0.6694638694638695,0.4616499975120664,11.6,0.6694638694638695
accuracy,0.5428315913827614,0.5428315913827614,0.5428315913827614,0.5428315913827614,0.6694638694638695
macro avg,0.5586876832844575,0.5739418384155226,0.5048728250747214,34.4,0.6694638694638695
weighted avg,0.6766535645980316,0.5428315913827614,0.5552387624901082,34.4,0.6694638694638695
