data,precision,recall,f1-score,support,specificity
LLE,0.8004725849834546,0.6593272228093188,0.7218090370153682,31.0,0.7608056758056757
TD,0.5511697092630156,0.7608056758056758,0.6289915753015639,19.2,0.7608056758056757
accuracy,0.7114586747107505,0.7114586747107505,0.7114586747107505,0.7114586747107505,0.7608056758056757
macro avg,0.675821147123235,0.7100664493074973,0.6754003061584661,50.2,0.7608056758056757
weighted avg,0.7419239512387071,0.7114586747107505,0.7173832717541317,50.2,0.7608056758056757
