,data,precision,recall,f1-score,support,specificity
0,-,-,-,-,-,-
1,0,0.30946305156831466,0.3217086834733893,0.3034519993634772,19.2,0.3217086834733894
2,1,0.5757821110785428,0.5584051724137931,0.5596519006108046,31.0,0.3217086834733894
3,accuracy,0.46595375458674637,0.46595375458674637,0.46595375458674637,0.46595375458674637,0.3217086834733894
4,macro avg,0.44262258132342874,0.44005692794359125,0.431551949987141,50.2,0.3217086834733894
5,weighted avg,0.47451179473195965,0.46595375458674637,0.461007412300645,50.2,0.3217086834733894
6,-,-,-,-,-,-
7,0,0.31077441077441076,0.30994397759103637,0.29459532715346665,19.2,0.30994397759103637
8,1,0.5844636898140791,0.5773419540229885,0.5722383264081669,31.0,0.30994397759103637
9,accuracy,0.47320346558647924,0.47320346558647924,0.47320346558647924,0.47320346558647924,0.30994397759103637
10,macro avg,0.4476190502942449,0.4436429658070124,0.4334168267808168,50.2,0.30994397759103637
11,weighted avg,0.48084778799543815,0.47320346558647924,0.4656570970854933,50.2,0.30994397759103637
12,-,-,-,-,-,-
13,0,0.30242338031811716,0.37014005602240896,0.3243272841118686,19.2,0.37014005602240896
14,1,0.5520219617780594,0.5024856321839081,0.5148797403195136,31.0,0.37014005602240896
15,accuracy,0.4521659244182065,0.4521659244182065,0.4521659244182065,0.4521659244182065,0.37014005602240896
16,macro avg,0.4272226710480882,0.4363128441031584,0.41960351221569103,50.2,0.37014005602240896
17,weighted avg,0.45665138603018374,0.4521659244182065,0.44221005017290266,50.2,0.37014005602240896
18,-,-,-,-,-,-
19,0,0.4000700280112045,0.3195518207282913,0.33364002943834875,19.2,0.31955182072829136
20,1,0.5879347826086956,0.630948275862069,0.6032165076968823,31.0,0.31955182072829136
21,accuracy,0.5129921899439991,0.5129921899439991,0.5129921899439991,0.5129921899439991,0.31955182072829136
22,macro avg,0.4940024053099501,0.4752500482951801,0.46842826856761555,50.2,0.31955182072829136
23,weighted avg,0.5170477945799974,0.5129921899439991,0.501124005268156,50.2,0.31955182072829136
