data,precision,recall,f1-score,support,specificity
LLE,0.6292322558173503,0.7221597243336374,0.6537054023173166,31.0,0.3239300699300699
TD,0.39324491600353667,0.52393006993007,0.3453292234417461,19.2,0.3239300699300699
accuracy,0.6199748502833803,0.6199748502833803,0.6199748502833803,0.6199748502833803,0.3239300699300699
macro avg,0.5112385859104436,0.6230448971318536,0.49951731287953133,50.2,0.3239300699300699
weighted avg,0.6571904580397986,0.6199748502833803,0.6233018322367879,50.2,0.3239300699300699
