data,precision,recall,f1-score,support,specificity
LLE,0.7010256614719089,0.6835350157089287,0.6486266304254918,31.0,0.46144055944055945
TD,0.514367816091954,0.6614405594405595,0.46638729246487876,19.2,0.46144055944055945
accuracy,0.6028214652534072,0.6028214652534072,0.6028214652534072,0.6028214652534072,0.46144055944055945
macro avg,0.6076967387819315,0.6724877875747441,0.5575069614451852,50.2,0.46144055944055945
weighted avg,0.7532278278124849,0.6028214652534072,0.6413383485728988,50.2,0.46144055944055945
