data,precision,recall,f1-score,support,specificity
LLE,0.7434300903774588,0.6881195070668755,0.7143743975322923,22.8,0.5315351315351314
TD,0.4584615384615384,0.5315351315351314,0.48793680083035407,11.6,0.5315351315351314
accuracy,0.6808692763252925,0.6808692763252925,0.6808692763252925,0.6808692763252925,0.5315351315351314
macro avg,0.6009458144194986,0.6098273193010035,0.6011555991813232,34.4,0.5315351315351314
weighted avg,0.7051738024474121,0.6808692763252925,0.6908603254427503,34.4,0.5315351315351314
