data,precision,recall,f1-score,support,specificity
LLE,0.7266798941798942,0.6763377252850937,0.6986609686609686,22.8,0.45467865467865465
TD,0.43219696969696975,0.45467865467865465,0.6415064935064935,11.6,0.45467865467865465
accuracy,0.6571389932110356,0.6571389932110356,0.6571389932110356,0.6571389932110356,0.45467865467865465
macro avg,0.5794384319384319,0.5655081899818742,0.6700837310837311,34.4,0.45467865467865465
weighted avg,0.6889037618164894,0.6571389932110356,0.6964587543565299,34.4,0.45467865467865465
