data,precision,recall,f1-score,support,specificity
LLE,0.670038464900778,0.6334863687037601,0.5988590824606737,31.0,0.4147132867132868
TD,0.48253812636165583,0.6147132867132867,0.421018551341132,19.2,0.4147132867132868
accuracy,0.542013404263858,0.542013404263858,0.542013404263858,0.542013404263858,0.4147132867132868
macro avg,0.576288295631217,0.6240998277085233,0.5099388169009028,50.2,0.4147132867132868
weighted avg,0.7207012681836898,0.542013404263858,0.5813239121921584,50.2,0.4147132867132868
