data,precision,recall,f1-score,support,specificity
LLE,0.684272030651341,0.6460737812911725,0.6012595262263191,31.0,0.43634965034965034
TD,0.506260987153482,0.6363496503496504,0.4420096306928671,19.2,0.43634965034965034
accuracy,0.5474360517917687,0.5474360517917687,0.5474360517917687,0.5474360517917687,0.43634965034965034
macro avg,0.5952665089024116,0.6412117158204115,0.521634578459593,50.2,0.43634965034965034
weighted avg,0.7436811788119019,0.5474360517917687,0.5869872801096891,50.2,0.43634965034965034
