data,precision,recall,f1-score,support,specificity
LLE,0.6578947368421053,0.28952380952380957,0.5586713286713286,14.8,0.5219298245614035
TD,0.3379653679653679,0.7219298245614035,0.39714285714285713,9.0,0.5219298245614035
accuracy,0.4268783068783069,0.4268783068783069,0.4268783068783069,0.4268783068783069,0.5219298245614035
macro avg,0.49793005240373667,0.5057268170426065,0.47790709290709293,23.8,0.5219298245614035
weighted avg,0.6693005240373662,0.4268783068783069,0.5092818292818293,23.8,0.5219298245614035
