data,precision,recall,f1-score,support,specificity
LLE,0.6277777777777778,0.6540873015873016,0.564041671457811,22.8,0.31094849423022797
TD,0.4928571428571429,0.5109484942302279,0.3675767195767195,11.6,0.31094849423022797
accuracy,0.5031265984654731,0.5031265984654731,0.5031265984654731,0.5031265984654731,0.31094849423022797
macro avg,0.5603174603174603,0.5825178979087647,0.4658091955172653,34.4,0.31094849423022797
weighted avg,0.7129082937522835,0.5031265984654731,0.5290274014121048,34.4,0.31094849423022797
