data,precision,recall,f1-score,support,specificity
LLE,0.7066569586020387,0.6427667984189723,0.5938504239991084,31.0,0.45707692307692305
TD,0.5121580547112462,0.6570769230769231,0.4262962962962963,19.2,0.45707692307692305
accuracy,0.5613039206505631,0.5613039206505631,0.5613039206505631,0.5613039206505631,0.45707692307692305
macro avg,0.6094075066566425,0.6499218607479478,0.5100733601477023,50.2,0.45707692307692305
weighted avg,0.7612268537027321,0.5613039206505631,0.5826978339559079,50.2,0.45707692307692305
