,data,precision,recall,f1-score,support,specificity
0,-,-,-,-,-,-
1,0,0.4587301587301587,0.3788888888888889,0.4092670401493931,9.0,0.3788888888888889
2,1,0.6610846970367094,0.7308333333333333,0.691876322275295,14.8,0.3788888888888889
3,accuracy,0.5958300395256917,0.5958300395256917,0.5958300395256917,0.5958300395256917,0.3788888888888889
4,macro avg,0.5599074278834341,0.554861111111111,0.550571681212344,23.8,0.3788888888888889
5,weighted avg,0.5867721724290575,0.5958300395256917,0.5850365685586689,23.8,0.3788888888888889
6,-,-,-,-,-,-
7,0,0.6033333333333333,0.29888888888888887,0.3912820512820513,9.0,0.29888888888888887
8,1,0.6779046546848404,0.8921428571428571,0.7686565611423297,14.8,0.29888888888888887
9,accuracy,0.665189723320158,0.665189723320158,0.665189723320158,0.665189723320158,0.29888888888888887
10,macro avg,0.6406189940090868,0.5955158730158729,0.5799693062121904,23.8,0.29888888888888887
11,weighted avg,0.6494290135165085,0.665189723320158,0.6240393553373671,23.8,0.29888888888888887
12,-,-,-,-,-,-
13,0,1.0,0.0,0.0,9.0,0.0
14,1,0.6223741765480896,1.0,0.7669162744259022,14.8,0.0
15,accuracy,0.6223741765480896,0.6223741765480896,0.6223741765480896,0.6223741765480896,0.0
16,macro avg,0.8111870882740447,0.5,0.3834581372129511,23.8,0.0
17,weighted avg,0.7656592771155445,0.6223741765480896,0.47783207867027705,23.8,0.0
18,-,-,-,-,-,-
19,0,0.4416666666666667,0.31666666666666665,0.3621266968325792,9.0,0.31666666666666665
20,1,0.6477075040542533,0.758452380952381,0.6965113318054494,14.8,0.31666666666666665
21,accuracy,0.5900118577075099,0.5900118577075099,0.5900118577075099,0.5900118577075099,0.31666666666666665
22,macro avg,0.54468708536046,0.5375595238095239,0.5293190143190143,23.8,0.31666666666666665
23,weighted avg,0.5717034267836529,0.5900118577075099,0.5701130446705894,23.8,0.31666666666666665
