data,precision,recall,f1-score,support,specificity
LLE,0.7525062656641603,0.8147619047619047,0.7301075268817204,14.8,0.3633771929824562
TD,0.6666666666666666,0.5633771929824561,0.3577566137566137,9.0,0.3633771929824562
accuracy,0.648042328042328,0.648042328042328,0.648042328042328,0.648042328042328,0.3633771929824562
macro avg,0.7095864661654135,0.6890695488721804,0.543932070319167,23.8,0.3633771929824562
weighted avg,0.8483454668417074,0.648042328042328,0.6584466063605848,23.8,0.3633771929824562
