data,precision,recall,f1-score,support,specificity
LLE,0.6272727272727272,0.5406493506493506,0.5185016595542911,14.8,0.2535087719298246
TD,0.35454545454545455,0.4535087719298246,0.4538880918220947,9.0,0.2535087719298246
accuracy,0.46798941798941796,0.46798941798941796,0.46798941798941796,0.46798941798941796,0.2535087719298246
macro avg,0.4909090909090909,0.49707906128958756,0.486194875688193,23.8,0.2535087719298246
weighted avg,0.6659812409812409,0.46798941798941796,0.5423603122221261,23.8,0.2535087719298246
