data,precision,recall,f1-score,support,specificity
LLE,0.7503879012874515,0.5079362466300956,0.6009541644373104,31.0,0.7713636363636364
TD,0.46609432334572676,0.7713636363636364,0.5565301350853334,19.2,0.7713636363636364
accuracy,0.6110721871934098,0.6110721871934098,0.6110721871934098,0.6110721871934098,0.7713636363636364
macro avg,0.6082411123165892,0.6396499414968659,0.578742149761322,50.2,0.7713636363636364
weighted avg,0.6952665792973894,0.6110721871934098,0.6222445570187697,50.2,0.7713636363636364
