data,precision,recall,f1-score,support
LLE,0.5813237639553429,0.3431941214143661,0.40212490959412983,30.4
TD,0.3984310850439883,0.6421848739495799,0.4783715125875359,19.2
accuracy,0.46675847556698613,0.46675847556698613,0.46675847556698613,0.46675847556698613
macro avg,0.48987742449966554,0.492689497681973,0.4402482110908329,49.6
weighted avg,0.5115763131647337,0.46675847556698613,0.43652688010248497,49.6
