data,precision,recall,f1-score,support,specificity
LLE,0.6799426780116435,0.694703557312253,0.6234783243322142,31.0,0.38232167832167835
TD,0.5221113127646703,0.5823216783216784,0.3588799083364301,19.2,0.38232167832167835
accuracy,0.5457604444900271,0.5457604444900271,0.5457604444900271,0.5457604444900271,0.38232167832167835
macro avg,0.6010269953881568,0.6385126178169657,0.49117911633432215,50.2,0.38232167832167835
weighted avg,0.7536860336457307,0.5457604444900271,0.5546489150257979,50.2,0.38232167832167835
