data,precision,recall,f1-score,support,specificity
LLE,0.6841298701298701,0.697733860342556,0.6276938972310235,31.0,0.39032167832167836
TD,0.5257894736842106,0.5903216783216784,0.3644017938583156,19.2,0.39032167832167836
accuracy,0.552239023382399,0.552239023382399,0.552239023382399,0.552239023382399,0.39032167832167836
macro avg,0.6049596719070404,0.6440277693321171,0.4960478455446696,50.2,0.39032167832167836
weighted avg,0.7576538157645235,0.552239023382399,0.560469615097305,50.2,0.39032167832167836
