data,precision,recall,f1-score,support,specificity
LLE,0.661010101010101,0.5423441775615688,0.5359024032445959,31.0,0.4501258741258741
TD,0.43970622618933,0.6501258741258742,0.4156217259443066,19.2,0.4501258741258741
accuracy,0.5219232101264769,0.5219232101264769,0.5219232101264769,0.5219232101264769,0.4501258741258741
macro avg,0.5503581635997156,0.5962350258437216,0.4757620645944513,50.2,0.4501258741258741
weighted avg,0.6952350757021978,0.5219232101264769,0.5532980679724891,50.2,0.4501258741258741
