data,precision,recall,f1-score,support,specificity
LLE,0.6393318677529204,0.5842110063849194,0.559947194719472,31.0,0.4335104895104894
TD,0.4570542635658915,0.6335104895104895,0.4186377807828112,19.2,0.4335104895104894
accuracy,0.5376012045703515,0.5376012045703515,0.5376012045703515,0.5376012045703515,0.4335104895104894
macro avg,0.548193065659406,0.6088607479477044,0.48929248775114154,50.2,0.4335104895104894
weighted avg,0.6916950095289689,0.5376012045703515,0.5701731444901353,50.2,0.4335104895104894
