data,precision,recall,f1-score,support,specificity
LLE,0.6875416726675307,0.6682213438735177,0.5758633404311769,31.0,0.34061538461538465
TD,0.52,0.5406153846153846,0.31724941724941724,19.2,0.34061538461538465
accuracy,0.48070115983001643,0.48070115983001643,0.48070115983001643,0.48070115983001643,0.34061538461538465
macro avg,0.6037708363337654,0.6044183642444512,0.4465563788402971,50.2,0.34061538461538465
weighted avg,0.7586191569685695,0.48070115983001643,0.4764422925811857,50.2,0.34061538461538465
