data,precision,recall,f1-score,support,specificity
LLE,0.6275737420474262,0.748524374176548,0.572419405559893,31.0,0.16325274725274724
TD,0.6065934065934065,0.36325274725274725,0.1985185185185185,19.2,0.16325274725274724
accuracy,0.4518892758457186,0.4518892758457186,0.4518892758457186,0.4518892758457186,0.16325274725274724
macro avg,0.6170835743204164,0.5558885607146478,0.3854689620392058,50.2,0.16325274725274724
weighted avg,0.7601385547810707,0.4518892758457186,0.41930913119811697,50.2,0.16325274725274724
