data,precision,recall,f1-score,support,specificity
LLE,0.6102007893296459,0.8016073781291173,0.5711247806609091,31.0,0.046153846153846156
TD,0.52,0.24615384615384617,0.26666666666666666,19.2,0.046153846153846156
accuracy,0.4359018150306716,0.4359018150306716,0.4359018150306716,0.4359018150306716,0.046153846153846156
macro avg,0.565100394664823,0.5238806121414817,0.4188957236637879,50.2,0.046153846153846156
weighted avg,0.7169111955816545,0.4359018150306716,0.4376690347849104,50.2,0.046153846153846156
