data,precision,recall,f1-score,support,specificity
LLE,0.4773591773591773,0.6221861471861472,0.4084915461896593,16.6,0.21614131482552534
TD,0.5466666666666666,0.4161413148255253,0.22018518518518518,16.8,0.21614131482552534
accuracy,0.3710278745644599,0.3710278745644599,0.3710278745644599,0.3710278745644599,0.21614131482552534
macro avg,0.512012922012922,0.5191637310058363,0.31433836568742224,33.4,0.21614131482552534
weighted avg,0.6517391597066393,0.3710278745644599,0.3262854498793293,33.4,0.21614131482552534
