data,precision,recall,f1-score,support,specificity
LLE,0.7005411255411256,0.5830460389283918,0.5901338661338661,22.8,0.45357142857142857
TD,0.45353535353535357,0.6535714285714286,0.41373973852234724,11.6,0.45357142857142857
accuracy,0.5355128205128205,0.5355128205128205,0.5355128205128205,0.5355128205128205,0.45357142857142857
macro avg,0.5770382395382395,0.6183087337499102,0.5019368023281067,34.4,0.45357142857142857
weighted avg,0.7081536519036519,0.5355128205128205,0.5662175100262057,34.4,0.45357142857142857
