data,precision,recall,f1-score,support,specificity
LLE,0.7494938167772482,0.6181554677206851,0.5576921907244488,31.0,0.5007272727272728
TD,0.5342157953281423,0.7007272727272726,0.46003367003367013,19.2,0.5007272727272728
accuracy,0.5657776568847349,0.5657776568847349,0.5657776568847349,0.5657776568847349,0.5007272727272728
macro avg,0.6418548060526954,0.659441370223979,0.5088629303790594,50.2,0.5007272727272728
weighted avg,0.7942066441877972,0.5657776568847349,0.5770006131802989,50.2,0.5007272727272728
