data,precision,recall,f1-score,support,specificity
LLE,0.6777585938006772,0.7639393939393939,0.6329636048858958,31.0,0.3233086913086913
TD,0.6516666666666666,0.5233086913086913,0.3537907137907138,19.2,0.3233086913086913
accuracy,0.5636698074084644,0.5636698074084644,0.5636698074084644,0.5636698074084644,0.3233086913086913
macro avg,0.6647126302336719,0.6436240426240426,0.4933771593383048,50.2,0.3233086913086913
weighted avg,0.8024619437259204,0.5636698074084644,0.5643112736075814,50.2,0.3233086913086913
