category,precision,recall,f1-score,support,specificity,accuracy,model,token_size
0.0,0.8317181540808545,0.8236842105263158,0.8244842876421823,19.2,0.8888172043010754,0.8631020408163265,RandomForestClassifier,50
1.0,0.88895202020202,0.8888172043010754,0.8874443312704404,30.4,0.8236842105263158,0.8631020408163265,RandomForestClassifier,50
macro avg,0.8603350871414372,0.8562507074136955,0.8559643094563114,49.6,,0.8631020408163265,RandomForestClassifier,50
weighted avg,0.8671627521891498,0.8631020408163265,0.8630052650562025,49.6,,0.8631020408163265,RandomForestClassifier,50
