data,precision,recall,f1-score,support,specificity
LLE,0.7237990270598966,0.7706060606060606,0.7147619047619047,14.8,0.3368421052631579
TD,0.5796078431372549,0.5368421052631579,0.4111111111111111,9.0,0.3368421052631579
accuracy,0.6468253968253969,0.6468253968253969,0.6468253968253969,0.6468253968253969,0.3368421052631579
macro avg,0.6517034350985758,0.6537240829346093,0.562936507936508,23.8,0.3368421052631579
weighted avg,0.7722715633329444,0.6468253968253969,0.6649924414210128,23.8,0.3368421052631579
