data,precision,recall,f1-score,support,specificity
LLE,0.6857894736842105,0.5585714285714285,0.5438797586087213,14.8,0.3907894736842105
TD,0.42857142857142855,0.5907894736842105,0.39170163170163164,9.0,0.3907894736842105
accuracy,0.4962433862433862,0.4962433862433862,0.4962433862433862,0.4962433862433862,0.3907894736842105
macro avg,0.5571804511278196,0.5746804511278195,0.46779069515517646,23.8,0.3907894736842105
weighted avg,0.7122293829812627,0.4962433862433862,0.5252514365083762,23.8,0.3907894736842105
