data,precision,recall,f1-score,support,specificity
LLE,0.5724080267558529,0.5451190476190476,0.3686926659489661,22.8,0.22229102167182663
TD,0.4723684210526316,0.42229102167182664,0.1720448863306006,11.6,0.22229102167182663
accuracy,0.2989919011082694,0.2989919011082694,0.2989919011082694,0.2989919011082694,0.22229102167182663
macro avg,0.5223882239042422,0.4837050346454371,0.27036877613978333,34.4,0.22229102167182663
weighted avg,0.6809978652612251,0.2989919011082694,0.2477204398878124,34.4,0.22229102167182663
