data,precision,recall,f1-score,support,specificity
LLE,0.6719383244013786,0.8369696969696969,0.683285773063689,31.0,0.29095704295704294
TD,0.7,0.49095704295704296,0.38041236183171667,19.2,0.29095704295704294
accuracy,0.5939163548963912,0.5939163548963912,0.5939163548963912,0.5939163548963912,0.29095704295704294
macro avg,0.6859691622006893,0.6639633699633699,0.5318490674477028,50.2,0.29095704295704294
weighted avg,0.8193891445576693,0.5939163548963912,0.6045847510267671,50.2,0.29095704295704294
