data,precision,recall,f1-score,support,specificity
LLE,0.6843634727845254,0.7610935441370223,0.663918210962546,31.0,0.3788091908091908
TD,0.5794258373205742,0.5788091908091908,0.4334179894179894,19.2,0.3788091908091908
accuracy,0.5922012096240772,0.5922012096240772,0.5922012096240772,0.5922012096240772,0.3788091908091908
macro avg,0.6318946550525497,0.6699513674731066,0.5486681001902677,50.2,0.3788091908091908
weighted avg,0.775077716783706,0.5922012096240772,0.6220630141593758,50.2,0.3788091908091908
