data,precision,recall,f1-score,support,specificity
LLE,0.6303030303030303,0.7055878552971576,0.6176142437079133,22.8,0.2355294117647059
TD,0.4722727272727273,0.4355294117647059,0.2785618916357998,11.6,0.2355294117647059
accuracy,0.5313319238900635,0.5313319238900635,0.5313319238900635,0.5313319238900635,0.2355294117647059
macro avg,0.5512878787878788,0.5705586335309317,0.4480880676718565,34.4,0.2355294117647059
weighted avg,0.7079602839021444,0.5313319238900635,0.5440582612999755,34.4,0.2355294117647059
