data,precision,recall,f1-score,support,specificity
LLE,0.5738405797101449,0.78,0.5422206527731185,22.8,0.0
TD,0.6,0.2,0.2,11.6,0.0
accuracy,0.39854646206308614,0.39854646206308614,0.39854646206308614,0.39854646206308614,0.0
macro avg,0.5869202898550725,0.49000000000000005,0.3711103263865592,34.4,0.0
weighted avg,0.7051440827433684,0.39854646206308614,0.42575929282831043,34.4,0.0
