,data,precision,recall,f1-score,support,specificity
0,-,-,-,-,-,-
1,0,0.409027639027639,0.4138888888888889,0.39355742296918766,9.0,0.41388888888888886
2,1,0.6006747638326585,0.580595238095238,0.578456742651116,14.8,0.41388888888888886
3,accuracy,0.518528326745718,0.518528326745718,0.518528326745718,0.518528326745718,0.41388888888888886
4,macro avg,0.5048512014301487,0.49724206349206346,0.4860070828101518,23.8,0.41388888888888886
5,weighted avg,0.531084165161053,0.518528326745718,0.5104668084275927,23.8,0.41388888888888886
6,-,-,-,-,-,-
7,0,0.5614468864468865,0.5261111111111111,0.5252886002886002,9.0,0.5261111111111111
8,1,0.7170771479982007,0.7245238095238096,0.7115186944342955,14.8,0.5261111111111111
9,accuracy,0.651768115942029,0.651768115942029,0.651768115942029,0.651768115942029,0.5261111111111111
10,macro avg,0.6392620172225436,0.6253174603174603,0.6184036473614478,23.8,0.5261111111111111
11,weighted avg,0.6590981253998989,0.651768115942029,0.6428548411898796,23.8,0.5261111111111111
12,-,-,-,-,-,-
13,0,0.5283333333333333,0.5605555555555556,0.5338026224982746,9.0,0.5605555555555556
14,1,0.7257442067736186,0.6896428571428571,0.7009615384615384,14.8,0.5605555555555556
15,accuracy,0.639098814229249,0.639098814229249,0.639098814229249,0.639098814229249,0.5605555555555556
16,macro avg,0.627038770053476,0.6250992063492063,0.6173820804799066,23.8,0.5605555555555556
17,weighted avg,0.6515415116639541,0.639098814229249,0.6371829402481576,23.8,0.5605555555555556
18,-,-,-,-,-,-
19,0,0.36659340659340656,0.39111111111111113,0.37627765064836005,9.0,0.39111111111111113
20,1,0.63,0.618452380952381,0.6219593787335722,14.8,0.39111111111111113
21,accuracy,0.5351910408432148,0.5351910408432148,0.5351910408432148,0.5351910408432148,0.39111111111111113
22,macro avg,0.4982967032967033,0.5047817460317461,0.4991185146909662,23.8,0.39111111111111113
23,weighted avg,0.5313370803109934,0.5351910408432148,0.5308790257338275,23.8,0.39111111111111113
