data,precision,recall,f1-score,support,specificity
LLE,0.7629140786749482,0.7771428571428571,0.7247142100083276,14.8,0.44868421052631574
TD,0.525974025974026,0.6486842105263158,0.41596170240671515,9.0,0.44868421052631574
accuracy,0.6528042328042327,0.6528042328042327,0.6528042328042327,0.6528042328042327,0.44868421052631574
macro avg,0.6444440523244871,0.7129135338345864,0.5703379562075214,23.8,0.44868421052631574
weighted avg,0.8145349457305979,0.6528042328042327,0.6740885454184686,23.8,0.44868421052631574
