data,precision,recall,f1-score,support,specificity
LLE,0.6406478578892372,0.6109486166007905,0.5653497461846608,31.0,0.3933346653346653
TD,0.40499999999999997,0.5933346653346654,0.3584866746157068,19.2,0.3933346653346653
accuracy,0.5353555667530259,0.5353555667530259,0.5353555667530259,0.5353555667530259,0.3933346653346653
macro avg,0.5228239289446186,0.6021416409677279,0.4619182104001839,50.2,0.3933346653346653
weighted avg,0.6775896368537847,0.5353555667530259,0.5539005512867767,50.2,0.3933346653346653
