data,precision,recall,f1-score,support,specificity
LLE,0.6583910193580005,0.7772727272727273,0.6292135338729115,31.0,0.2613026973026973
TD,0.630952380952381,0.46130269730269735,0.3326477732793522,19.2,0.2613026973026973
accuracy,0.5286598263004796,0.5286598263004796,0.5286598263004796,0.5286598263004796,0.2613026973026973
macro avg,0.6446717001551907,0.6192877122877123,0.48093065357613185,50.2,0.2613026973026973
weighted avg,0.7822364494155492,0.5286598263004796,0.532044426308868,50.2,0.2613026973026973
