data,precision,recall,f1-score,support,specificity
LLE,0.6510606060606061,0.7972727272727272,0.6321132214641343,31.0,0.22254145854145854
TD,0.6476190476190476,0.4225414585414585,0.2974223843789061,19.2,0.22254145854145854
accuracy,0.5222974830960312,0.5222974830960312,0.5222974830960312,0.5222974830960312,0.22254145854145854
macro avg,0.6493398268398268,0.6099070929070929,0.4647678029215202,50.2,0.22254145854145854
weighted avg,0.7849659347753721,0.5222974830960312,0.5149834429249254,50.2,0.22254145854145854
