data,precision,recall,f1-score,support,specificity
LLE,0.5925145733969264,0.9112301587301588,0.679782549247987,22.8,0.07272727272727272
TD,0.5722222222222222,0.2727272727272727,0.09999999999999995,11.6,0.07272727272727272
accuracy,0.5574744245524297,0.5574744245524297,0.5574744245524297,0.5574744245524297,0.07272727272727272
macro avg,0.5823683978095743,0.5919787157287157,0.3898912746239935,34.4,0.07272727272727272
weighted avg,0.7532324351770154,0.5574744245524297,0.48988972715421253,34.4,0.07272727272727272
