data,precision,recall,f1-score,support,specificity
LLE,0.6781531531531532,0.47926093514328805,0.4646630286810197,22.8,0.37727272727272726
TD,0.36187290969899666,0.5772727272727273,0.302056215808338,11.6,0.37727272727272726
accuracy,0.4145555555555555,0.4145555555555555,0.4145555555555555,0.4145555555555555,0.37727272727272726
macro avg,0.5200130314260749,0.5282668312080077,0.3833596222446789,34.4,0.37727272727272726
weighted avg,0.6594598335793987,0.4145555555555555,0.4218260764000588,34.4,0.37727272727272726
