data,precision,recall,f1-score,support,specificity
LLE,0.7484672970843184,0.7942160737812911,0.7040676816491649,31.0,
TD,0.6038888888888889,0.6574545454545454,0.4615138394208162,19.2,
accuracy,0.6628023502796643,0.6628023502796643,0.6628023502796643,0.6628023502796643,
macro avg,0.6761780929866037,0.7258353096179183,0.5827907605349905,50.2,
weighted avg,0.8255063752983396,0.6628023502796643,0.6720538941609111,50.2,
