data,precision,recall,f1-score,support,specificity
LLE,0.60378861003861,0.8627272727272727,0.6317132013077299,31.0,0.012545454545454545
TD,0.5,0.21254545454545454,0.22370370370370368,19.2,0.012545454545454545
accuracy,0.48117962872953796,0.48117962872953796,0.48117962872953796,0.48117962872953796,0.012545454545454545
macro avg,0.551894305019305,0.5376363636363637,0.42770845250571676,50.2,0.012545454545454545
weighted avg,0.6980310768999639,0.48117962872953796,0.4879887012500717,50.2,0.012545454545454545
