data,precision,recall,f1-score,support,specificity
LLE,0.6122359668572762,0.6801054018445323,0.5946257535731221,31.0,0.28524475524475523
TD,0.4415786827551534,0.48524475524475524,0.32012001156738,19.2,0.28524475524475523
accuracy,0.515038400882321,0.515038400882321,0.515038400882321,0.515038400882321,0.28524475524475523
macro avg,0.5269073248062147,0.5826750785446437,0.457372882570251,50.2,0.28524475524475523
weighted avg,0.6774721924053907,0.515038400882321,0.5437515811472254,50.2,0.28524475524475523
