data,precision,recall,f1-score,support,specificity
LLE,0.8449197860962567,0.44393939393939397,0.4738059122931203,14.8,0.6703947368421053
TD,0.43264221158958005,0.8703947368421053,0.4639553429027113,9.0,0.6703947368421053
accuracy,0.5225396825396825,0.5225396825396825,0.5225396825396825,0.5225396825396825,0.6703947368421053
macro avg,0.6387809988429184,0.6571670653907496,0.4688806275979158,23.8,0.6703947368421053
weighted avg,0.817930188910581,0.5225396825396825,0.5162580195728138,23.8,0.6703947368421053
