data,precision,recall,f1-score,support,specificity
LLE,0.5299231950844854,0.7593073593073594,0.5597312190733243,16.6,0.12249855407750143
TD,0.509090909090909,0.32249855407750144,0.3833333333333333,16.8,0.12249855407750143
accuracy,0.4464808362369338,0.4464808362369338,0.4464808362369338,0.4464808362369338,0.12249855407750143
macro avg,0.5195070520876973,0.5409029566924304,0.4715322762033288,33.4,0.12249855407750143
weighted avg,0.6558757803958433,0.4464808362369338,0.5548862757790871,33.4,0.12249855407750143
