data,precision,recall,f1-score,support,specificity
LLE,0.7251260504201681,0.7510683760683761,0.7257142857142858,16.6,0.6203976608187134
TD,0.7944552557865251,0.6203976608187134,0.6021607378129117,16.8,0.6203976608187134
accuracy,0.7257995660041294,0.7257995660041294,0.7257995660041294,0.7257995660041294,0.6203976608187134
macro avg,0.7597906531033466,0.6857330184435447,0.6639375117635987,33.4,0.6203976608187134
weighted avg,0.7557216532995512,0.7257995660041294,0.702341864621252,33.4,0.6203976608187134
