data,precision,recall,f1-score,support,specificity
LLE,0.7407421289355323,0.7601844532279316,0.6988307366942155,31.0,0.4868771228771229
TD,0.608446455505279,0.6868771228771229,0.5250050050050049,19.2,0.4868771228771229
accuracy,0.6535097380832408,0.6535097380832408,0.6535097380832408,0.6535097380832408,0.4868771228771229
macro avg,0.6745942922204057,0.7235307880525271,0.6119178708496102,50.2,0.4868771228771229
weighted avg,0.8094813992889336,0.6535097380832408,0.6861080286670027,50.2,0.4868771228771229
