data,precision,recall,f1-score,support,specificity
LLE,0.6888888888888889,0.8509523809523809,0.7240635333658589,14.8,0.19671052631578947
TD,0.52,0.39671052631578946,0.45113883937413346,9.0,0.19671052631578947
accuracy,0.6124867724867725,0.6124867724867725,0.6124867724867725,0.6124867724867725,0.19671052631578947
macro avg,0.6044444444444445,0.6238314536340852,0.5876011863699961,23.8,0.19671052631578947
weighted avg,0.7676334776334776,0.6124867724867725,0.661810082639996,23.8,0.19671052631578947
