data,precision,recall,f1-score,support,specificity
LLE,0.6286404901141742,0.749459815546772,0.609551414768806,31.0,0.20325274725274728
TD,0.5075000000000001,0.40325274725274723,0.24448315911730548,19.2,0.20325274725274728
accuracy,0.48764572194699235,0.48764572194699235,0.48764572194699235,0.48764572194699235,0.20325274725274728
macro avg,0.5680702450570871,0.5763562813997597,0.42701728694305574,50.2,0.20325274725274728
weighted avg,0.7173919035430403,0.48764572194699235,0.4807839621530953,50.2,0.20325274725274728
