data,precision,recall,f1-score,support,specificity
LLE,0.6482051282051282,0.6202939089895612,0.5787293557506323,31.0,0.3821958041958042
TD,0.4565377722635787,0.5821958041958042,0.39421954389696323,19.2,0.3821958041958042
accuracy,0.5203880666675584,0.5203880666675584,0.5203880666675584,0.5203880666675584,0.3821958041958042
macro avg,0.5523714502343534,0.6012448565926827,0.4864744498237978,50.2,0.3821958041958042
weighted avg,0.6992212996589204,0.5203880666675584,0.5598628821039936,50.2,0.3821958041958042
