data,precision,recall,f1-score,support,specificity
LLE,0.686094059983662,0.6504347826086956,0.6094612696876848,31.0,0.4330349650349651
TD,0.4895739348370928,0.633034965034965,0.4254406130268199,19.2,0.4330349650349651
accuracy,0.5603807239015951,0.5603807239015951,0.5603807239015951,0.5603807239015951,0.4330349650349651
macro avg,0.5878339974103775,0.6417348738218303,0.5174509413572523,50.2,0.4330349650349651
weighted avg,0.7379272455351424,0.5603807239015951,0.5955029061519947,50.2,0.4330349650349651
