data,precision,recall,f1-score,support,specificity
LLE,0.6992417104141427,0.7652123239079761,0.7029504394960062,31.0,0.43854745254745253
TD,0.525375939849624,0.6385474525474526,0.4609977324263038,19.2,0.43854745254745253
accuracy,0.6674059969885742,0.6674059969885742,0.6674059969885742,0.6674059969885742,0.43854745254745253
macro avg,0.6123088251318834,0.7018798882277143,0.5819740859611551,50.2,0.43854745254745253
weighted avg,0.7556584037064924,0.6674059969885742,0.6876218386967802,50.2,0.43854745254745253
