data,precision,recall,f1-score,support,specificity
LLE,0.7285882352941176,0.6919047619047619,0.6617435923575536,14.8,0.4151315789473684
TD,0.46551226551226554,0.6151315789473684,0.3727920227920228,9.0,0.4151315789473684
accuracy,0.5919576719576719,0.5919576719576719,0.5919576719576719,0.5919576719576719,0.4151315789473684
macro avg,0.5970502504031916,0.6535181704260651,0.5172678075747882,23.8,0.4151315789473684
weighted avg,0.760657295645531,0.5919576719576719,0.6128774136806097,23.8,0.4151315789473684
